dimension_set,query,strategy,threshold_bytes,threshold_label,run,status,elapsed_s,setup_s,groups,total,bhj,smj,shuffle,bcast_ex,exchanges,bcast_ms,bcast_bytes,plan_file
dim100mb,q1,auto,534220272,above-all-8x,5,ok,34.60,,200,3000078095504.6,4,0,2,4,6,12464,1366905240,/home/athenas/Downloads/jpp/JPP/results/plans/dim100mb/q1-auto-above-all-8x-r5.txt
dim10mb,q2,joinless,-1,pattern,1,ok,18.41,3.81,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-joinless-pattern-r1.txt
dim10mb,q2,auto,10485760,default-10MiB,1,ok,13.22,,40,120015240211.4,4,0,2,4,6,3425,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-default-10MiB-r1.txt
dim10mb,q2,auto,22821,admits-1:date,1,ok,22.53,,40,120015240211.4,1,3,8,1,9,955,1069024,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-1:date-r1.txt
dim10mb,q2,auto,363779,admits-2:date+supplier,1,ok,19.33,,40,120015240211.4,2,2,6,2,8,1044,3717568,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-2:date+supplier-r1.txt
dim10mb,q2,auto,2512573,admits-3:date+supplier+part,1,ok,17.08,,40,120015240211.4,3,1,4,3,7,3742,82026432,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-3:date+supplier+part-r1.txt
dim10mb,q2,auto,7876670,admits-4:date+supplier+part+customer,1,ok,13.23,,40,120015240211.4,4,0,2,4,6,4160,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-admits-4:date+supplier+part+customer-r1.txt
dim10mb,q2,auto,63013352,above-all-8x,1,ok,14.70,,40,120015240211.4,4,0,2,4,6,4848,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-above-all-8x-r1.txt
dim10mb,q2,joinless,-1,pattern,2,ok,18.52,4.03,40,120015240211.4,0,0,2,0,2,0,0,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-joinless-pattern-r2.txt
dim10mb,q2,auto,10485760,default-10MiB,2,ok,13.60,,40,120015240211.4,4,0,2,4,6,3997,139580832,/home/athenas/JPP/JPP/results/plans/dim10mb/q2-auto-default-10MiB-r2.txt
